year,university,school,degree,category,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2025,NUS,College of design and engineering,Industrial & Systems Engineering,Engineering,0.919,0.8390000000000001,5002.0,4800.0,5183.0,5000.0,4500.0,5600.0
2025,NUS,College of design and engineering,Industrial Design,Architecture & Design,0.857,0.47600000000000003,3948.0,3900.0,4071.0,4050.0,3500.0,4500.0
2025,NUS,School of computing,Information Security,Technology,0.88,0.84,5682.0,5500.0,6071.0,6000.0,5150.0,6800.0
2025,NUS,School of computing,Information Systems,Technology,0.968,0.9209999999999999,5938.0,5665.0,6126.0,6000.0,5000.0,7000.0
2025,NUS,College of design and engineering,Infrastructure & Project Management,Other,1.0,0.833,,,,,,
2025,NUS,College of design and engineering,Materials Engineering,Engineering,0.875,0.594,4570.0,4680.0,4775.0,4800.0,4200.0,5000.0
2025,NUS,College of design and engineering,Mechanical Engineering,Engineering,0.873,0.757,4808.0,4645.0,5045.0,5000.0,4495.0,5591.0
2025,NUS,Yong loo lin school of medicine,Medicine,Healthcare,1.0,1.0,5129.0,5050.0,6344.0,6500.0,6000.0,6930.0
2025,NUS,Yst conservatory of music,Music,Arts & Social Sciences,0.773,0.045,,,,,,
2025,NUS,Yong loo lin school of medicine,Nursing,Healthcare,0.9585,0.8765,3801.0,3825.0,4146.5,4100.0,3937.5,4345.0
2025,NUS,Faculty of science,Pharmacy,Science,0.9740000000000001,0.9740000000000001,4240.0,4200.0,4598.0,4475.0,4200.0,4986.0
2025,NUS,College of design and engineering,Project & Facilities Management,Arts & Social Sciences,0.932,0.797,4198.0,4200.0,4386.0,4265.0,4000.0,4600.0
2025,NUS,Nus business school,Real Estate,Business,0.929,0.8140000000000001,4331.0,4000.0,4533.0,4200.0,3850.0,5000.0
2025,NUS,Yale-nus college,Science (General),Science,0.8,0.667,5865.0,4950.0,5974.0,4973.0,4450.0,6900.0
2025,NUS,Faculty of arts & social sciences,Social Sciences,Arts & Social Sciences,0.884,0.7190000000000001,4430.0,4300.0,4578.0,4500.0,4000.0,5000.0
2025,SIT,Singapore institute of technology,Accountancy,Business,0.976,0.873,4297.0,4350.0,4349.0,4350.0,4000.0,4550.0
2025,SIT,Sit - university of glasgow,Aerospace Engineering,Engineering,0.742,0.516,4807.0,4200.0,4925.0,4400.0,4000.0,6000.0
2025,SIT,Singapore institute of technology,Air Transport Management,Science,0.7559999999999999,0.6,3866.0,3800.0,4200.0,4100.0,3820.0,4500.0
2025,SIT,Singapore institute of technology,Applied Artificial Intelligence,Technology,0.657,0.5710000000000001,4501.0,4500.0,4618.0,4550.0,3850.0,5320.0
2025,SIT,Sit - newcastle university,Architecture,Architecture & Design,0.8640000000000001,0.773,4466.0,4150.0,4819.0,4700.0,4000.0,5400.0
2025,SIT,Singapore institute of technology,Business,Business,0.8590000000000001,0.7070000000000001,3555.0,3500.0,3767.0,3500.0,3310.0,4000.0
2025,SIT,Culinary institute of america,Business Administration (Food Business),Business,1.0,0.636,2999.0,3000.0,3545.0,3500.0,3400.0,3800.0
2025,SIT,Sit - technical university of munich,Chemical & Biomolecular Engineering,Engineering,0.862,0.759,4259.0,4000.0,4468.0,4250.0,3967.0,4985.0
2025,SIT,Sit - university of glasgow,Civil Engineering,Engineering,0.8420000000000001,0.75,4185.0,4125.0,4363.0,4200.0,4000.0,4400.0
2025,SIT,Singapore institute of technology,Communication Studies,Arts & Social Sciences,0.898,0.6940000000000001,3665.0,3600.0,3776.0,3675.0,3400.0,4010.0
2025,SIT,Singapore institute of technology,Computer Engineering,Engineering,0.792,0.6459999999999999,4498.0,4500.0,4638.0,4534.0,4000.0,5000.0
2025,SIT,Sit - university of glasgow,Computer Science,Technology,0.802,0.653,5039.0,5000.0,5168.0,5000.0,4550.0,5700.0
2025,SIT,Sit - digipen institute of technology,Computer Science (Specialisation),Technology,0.812,0.6755,4807.0,4705.0,4931.0,4780.0,4342.5,5350.0
2025,SIT,Singapore institute of technology,Diagnostic Radiography,Healthcare,1.0,0.924,3909.0,3900.0,4092.0,4000.0,3900.0,4275.0
2025,SIT,Singapore institute of technology,Dietetics & Nutrition,Healthcare,1.0,0.92,3975.0,4000.0,3976.0,4000.0,3850.0,4050.0
2025,SIT,Sit - technical university of munich,Electrical & Electronic Engineering,Engineering,0.9,0.775,4511.0,4400.0,4705.0,4700.0,4250.0,5100.0
2025,SIT,Digipen institute of technology,Fine Arts,Architecture & Design,0.722,0.444,,,,,,
2025,SIT,Sit - massey university,Food Technology,Science,0.9390000000000001,0.551,3571.0,3500.0,3707.0,3600.0,3200.0,4040.0
2025,SIT,Digipen institute of technology,Game Design,Architecture & Design,0.8,0.5,3725.0,3550.0,3814.0,3600.0,3300.0,4100.0
2025,SIT,Singapore institute of technology,Information Security,Technology,0.8420000000000001,0.747,5052.0,5000.0,5192.0,5000.0,4500.0,5600.0
2025,SIT,Sit - university of glasgow,Mechanical Engineering,Engineering,0.875,0.75,4143.0,4183.0,4326.0,4200.0,3890.0,4675.0
2025,SIT,Sit - newcastle university,Mechanical Engineering (Design & Manufacturing),Engineering,0.83,0.723,4172.0,4200.0,4252.0,4200.0,3900.0,4500.0
2025,SIT,Sit - digipen institute of technology,Mechatronics Engineering,Engineering,0.758,0.6970000000000001,4424.0,4400.0,4723.0,4600.0,4000.0,5000.0
2025,SIT,Sit - university of glasgow,Nursing,Healthcare,0.981,0.755,3896.0,3900.0,4198.0,4163.0,3900.0,4422.0
2025,SIT,Singapore institute of technology,Occupational Therapy,Healthcare,1.0,0.98,3778.0,3850.0,3858.0,3925.0,3800.0,4048.0
2025,SIT,Singapore institute of technology,Pharmaceutical Engineering,Engineering,0.968,0.9209999999999999,3965.0,3975.0,4548.0,4500.0,4200.0,4721.0
2025,SIT,Singapore institute of technology,Physiotherapy,Healthcare,1.0,0.99,4072.0,4020.0,4142.0,4110.0,3925.0,4290.0
2025,SIT,Singapore institute of technology,Robotics Engineering,Engineering,0.8,0.72,4581.0,4500.0,4656.0,4650.0,4200.0,5000.0
2025,SIT,Singapore institute of technology,Software Engineering,Technology,0.868,0.765,5025.0,5000.0,5128.0,5000.0,4800.0,5500.0
2025,SIT,Singapore institute of technology,Speech & Language Therapy,Healthcare,1.0,0.955,3950.0,3900.0,3970.0,3900.0,3800.0,4200.0
2025,SIT,Singapore institute of technology,Supply Chain Management,Business,0.909,0.848,3882.0,4000.0,3994.0,4080.0,3800.0,4200.0
2025,SIT,Singapore institute of technology,Sustainable Infrastructure Engineering,Engineering,0.8695,0.7285,4181.5,4112.5,4375.5,4275.0,3950.5,4712.5
2025,SMU,School of accountancy,Accountancy,Business,0.9795,0.923,4846.0,4350.0,4952.0,4425.0,4325.0,5045.0
2025,SMU,School of business,Business,Business,0.912,0.7945,5273.0,4750.0,5426.0,4800.0,4150.0,5762.5
2025,SMU,School of computing & information systems,Computer Science,Technology,0.8985000000000001,0.845,6262.0,6125.0,6324.0,6125.0,5200.0,7083.0
2025,SMU,School of computing & information systems,Computing & Law,Law,0.81,0.762,4999.0,5000.0,5192.0,5000.0,4300.0,5500.0
2025,SMU,School of economics,Economics,Arts & Social Sciences,0.9065,0.7975,4839.0,4650.0,5073.5,4750.0,4198.5,5350.0
2025,SMU,School of computing & information systems,Information Systems,Technology,0.9715,0.8845000000000001,5543.5,5300.0,5717.0,5592.5,4900.0,6389.0
2025,SMU,School of social sciences,Social Sciences,Arts & Social Sciences,0.9165,0.742,4238.0,4140.0,4368.0,4175.0,3750.0,4800.0
2025,SUSS,School of business,Accountancy,Business,0.938,0.8590000000000001,,4350.0,,4350.0,4300.0,4500.0
2025,SUSS,School of business,Business Analytics,Technology,0.833,0.6970000000000001,,4600.0,,4800.0,4200.0,5439.0
2025,SUSS,S r nathan school of human development,Early Childhood Education,Education,1.0,0.938,,3700.0,,3800.0,3500.0,3995.0
2025,SUSS,School of business,Finance,Business,0.892,0.649,,4325.0,,4400.0,4145.0,5134.0
2025,SUSS,S r nathan school of human development,Human Resource Management,Business,0.9009999999999999,0.728,,4000.0,,4000.0,3700.0,4300.0
2025,SUSS,School of business,Marketing,Business,0.8490000000000001,0.562,,3600.0,,3715.0,3500.0,4200.0
2025,SUSS,School of humanities and behavioural sciences,Public Safety & Security,Arts & Social Sciences,0.9179999999999999,0.6940000000000001,,4215.0,,5000.0,4185.0,5800.0
2025,SUSS,School of social work and social development,Social Work,Arts & Social Sciences,0.9490000000000001,0.823,,3950.0,,3950.0,3850.0,4050.0
2025,SUSS,School of business,Supply Chain Management,Business,0.8240000000000001,0.632,,3800.0,,4000.0,3600.0,4325.0
2025,SUTD,Sutd,Architecture,Architecture & Design,0.971,0.914,,,4396.0,4490.0,4000.0,4800.0
2025,SUTD,Sutd,Computer Science & Design,Technology,0.917,0.769,,,5375.0,5000.0,4800.0,5825.0
2025,SUTD,Sutd,Design and Artificial Intelligence,Other,0.818,0.636,,,4652.0,4925.0,4096.0,5393.0
2025,SUTD,Sutd,Engineering Product Development,Engineering,0.8420000000000001,0.7190000000000001,,,5020.0,4965.0,4500.0,5400.0
